diff_size,files_changed,hour_of_day,day_of_week,recent_failure_rate,test_pass_rate,is_hotfix,deployer_exp,days_since_deploy,build_time_delta,label,label_source,sample_weight
5,1,16,4,0.243,0.634,0,33,1.4,0.122,1,synthetic,1.0
360,3,15,3,0.404,0.685,0,51,14.9,0.285,1,synthetic,1.0
44,8,19,2,0.188,0.896,0,30,5.5,-0.051,0,synthetic,1.0
162,7,20,6,0.224,0.788,0,93,6.1,-0.129,1,synthetic,1.0
56,3,23,2,0.373,0.658,0,6,1.3,-0.378,1,synthetic,1.0
110,2,15,4,0.234,0.734,0,27,0.0,0.065,1,synthetic,1.0
118,3,2,0,0.276,0.884,0,7,0.2,0.318,0,synthetic,1.0
30,1,11,3,0.195,0.806,0,83,3.2,0.429,0,synthetic,1.0
523,1,23,6,0.469,0.847,0,107,1.3,0.071,1,synthetic,1.0
223,3,17,2,0.305,0.849,0,20,0.9,-0.42,1,synthetic,1.0
420,1,9,0,0.481,0.943,0,14,0.2,-0.141,1,synthetic,1.0
337,2,13,0,0.111,0.829,0,13,8.3,0.351,0,synthetic,1.0
136,6,14,2,0.175,0.663,0,78,3.7,0.247,0,synthetic,1.0
382,20,0,2,0.295,0.774,0,45,0.5,-0.31,1,synthetic,1.0
13,5,12,4,0.412,0.832,0,85,5.8,0.593,0,synthetic,1.0
32,1,10,4,0.236,0.639,0,5,5.6,-0.325,1,synthetic,1.0
6,1,10,3,0.597,0.718,0,25,1.4,-0.117,1,synthetic,1.0
59,18,13,3,0.121,0.848,0,45,0.8,0.151,0,synthetic,1.0
73,2,8,3,0.296,0.956,0,90,6.7,-0.024,0,synthetic,1.0
47,1,14,3,0.539,0.721,0,19,1.6,-0.098,1,synthetic,1.0
264,5,16,0,0.61,0.97,1,15,7.5,0.004,1,synthetic,1.0
66,5,20,3,0.228,0.795,0,97,0.2,0.308,0,synthetic,1.0
49,6,23,6,0.076,0.983,0,1,2.8,0.577,0,synthetic,1.0
117,1,20,5,0.273,0.766,0,26,0.8,0.091,1,synthetic,1.0
22,1,16,3,0.097,0.945,0,24,4.5,-0.189,0,synthetic,1.0
243,20,2,6,0.258,0.863,0,6,23.5,0.032,1,synthetic,1.0
11,1,17,6,0.293,0.733,0,20,2.1,0.592,1,synthetic,1.0
650,6,11,6,0.161,0.944,0,51,0.4,0.244,0,synthetic,1.0
221,7,14,1,0.342,0.855,0,18,1.5,0.402,0,synthetic,1.0
33,5,10,5,0.358,0.849,0,14,8.9,0.249,0,synthetic,1.0
1,2,11,4,0.327,0.885,0,60,5.8,0.282,0,synthetic,1.0
253,1,7,1,0.359,0.855,0,179,1.1,0.014,0,synthetic,1.0
184,5,9,4,0.259,0.877,0,60,12.3,0.432,1,synthetic,1.0
195,12,16,4,0.252,0.904,1,74,3.9,-0.849,1,synthetic,1.0
221,17,14,4,0.227,0.691,0,112,0.7,0.171,1,synthetic,1.0
11,1,3,1,0.284,0.909,0,64,3.4,0.144,0,synthetic,1.0
66,1,15,1,0.128,0.7,0,157,2.4,-0.26,0,synthetic,1.0
18,17,14,4,0.377,0.615,0,55,6.9,0.103,1,synthetic,1.0
298,8,17,1,0.301,0.857,0,43,1.7,0.178,0,synthetic,1.0
146,12,15,4,0.191,0.373,0,47,8.3,-0.519,1,synthetic,1.0
60,1,14,4,0.14,0.975,1,92,6.7,0.109,1,synthetic,1.0
9,5,14,3,0.073,0.696,0,45,4.5,0.39,0,synthetic,1.0
55,7,11,2,0.249,0.745,0,57,1.2,0.505,1,synthetic,1.0
58,6,8,4,0.22,0.871,0,9,14.1,0.189,1,synthetic,1.0
196,3,9,3,0.535,0.802,0,97,3.2,-0.024,0,synthetic,1.0
152,1,9,6,0.138,0.816,0,23,9.5,0.293,0,synthetic,1.0
327,5,16,1,0.183,0.937,0,7,1.0,-0.251,0,synthetic,1.0
95,1,21,2,0.059,0.52,0,64,16.4,0.239,0,synthetic,1.0
19,3,14,1,0.325,0.856,0,17,6.8,-0.01,0,synthetic,1.0
187,18,6,3,0.189,0.742,0,8,11.9,0.358,0,synthetic,1.0
214,3,13,4,0.339,0.889,1,11,1.0,-0.139,1,synthetic,1.0
123,10,14,2,0.247,0.952,0,1,2.3,0.519,1,synthetic,1.0
221,1,9,5,0.387,0.941,0,3,0.4,0.368,1,synthetic,1.0
102,6,14,2,0.442,0.773,0,35,0.6,0.114,0,synthetic,1.0
110,22,13,1,0.168,0.633,0,80,1.3,0.089,0,synthetic,1.0
83,1,16,5,0.292,0.818,0,23,12.1,0.515,1,synthetic,1.0
3,1,11,0,0.164,0.603,0,39,4.4,0.65,0,synthetic,1.0
17,3,17,1,0.569,0.812,0,66,1.5,-0.098,1,synthetic,1.0
4,1,1,4,0.334,0.67,0,17,12.4,-0.086,1,synthetic,1.0
151,8,11,0,0.162,0.547,0,42,5.4,0.397,1,synthetic,1.0
56,14,15,1,0.259,0.763,0,17,9.5,-0.701,0,synthetic,1.0
106,3,13,4,0.198,0.738,0,41,10.5,-0.76,0,synthetic,1.0
357,1,13,2,0.532,0.603,0,9,5.6,-0.217,1,synthetic,1.0
43,3,12,2,0.09,0.66,0,152,1.1,0.104,0,synthetic,1.0
79,7,13,4,0.32,0.898,0,3,22.7,-0.319,1,synthetic,1.0
211,1,4,2,0.37,0.845,0,28,1.6,-0.362,0,synthetic,1.0
38,5,17,4,0.458,0.809,0,13,4.5,-0.13,1,synthetic,1.0
12,5,16,4,0.061,0.852,0,36,7.5,0.424,0,synthetic,1.0
51,6,13,3,0.444,0.586,0,22,0.8,-0.103,1,synthetic,1.0
26,1,18,3,0.257,0.905,1,14,3.8,0.347,1,synthetic,1.0
398,7,4,1,0.086,0.903,0,11,1.9,0.047,0,synthetic,1.0
247,1,14,4,0.184,0.937,0,8,1.1,0.48,0,synthetic,1.0
150,1,10,3,0.288,0.577,0,61,0.0,-0.056,0,synthetic,1.0
307,12,10,0,0.357,0.818,0,10,8.2,0.142,0,synthetic,1.0
244,8,9,1,0.278,0.927,0,59,0.6,0.083,0,synthetic,1.0
30,1,12,0,0.379,0.876,0,26,8.4,-0.024,0,synthetic,1.0
334,1,11,2,0.322,0.887,0,2,3.7,0.258,0,synthetic,1.0
116,1,15,4,0.547,0.653,0,7,3.9,0.224,0,synthetic,1.0
247,1,12,0,0.27,1.0,0,89,7.1,0.088,0,synthetic,1.0
339,1,13,4,0.517,0.944,1,36,2.8,-0.557,1,synthetic,1.0
57,1,12,2,0.137,0.891,0,8,1.8,-0.334,0,synthetic,1.0
17,3,22,4,0.186,0.832,0,48,0.6,-0.26,0,synthetic,1.0
38,7,17,1,0.192,0.855,0,69,3.4,0.089,0,synthetic,1.0
83,5,15,4,0.506,0.663,0,16,3.2,0.006,1,synthetic,1.0
255,6,15,0,0.098,0.713,0,32,1.4,-0.206,0,synthetic,1.0
295,1,15,2,0.263,0.828,1,13,3.7,-0.228,1,synthetic,1.0
1,18,13,0,0.008,0.983,0,3,2.3,0.226,0,synthetic,1.0
107,10,15,3,0.26,0.806,0,20,6.5,-0.199,0,synthetic,1.0
81,9,14,1,0.173,0.906,0,55,3.3,-0.723,0,synthetic,1.0
37,10,23,1,0.038,0.96,0,24,10.9,0.066,0,synthetic,1.0
19,16,15,2,0.36,0.969,0,20,2.9,-0.145,0,synthetic,1.0
61,4,17,1,0.411,0.977,0,18,8.7,0.246,0,synthetic,1.0
429,1,16,4,0.316,0.974,0,24,2.9,-0.208,1,synthetic,1.0
58,5,16,4,0.085,0.874,0,15,3.3,-0.053,0,synthetic,1.0
109,8,15,4,0.389,0.837,0,37,1.8,0.101,0,synthetic,1.0
182,8,17,0,0.329,0.972,0,2,2.0,-0.642,1,synthetic,1.0
67,4,23,6,0.191,0.731,0,65,10.8,-0.164,0,synthetic,1.0
535,1,15,1,0.482,0.896,0,7,1.0,-0.216,0,synthetic,1.0
492,2,10,3,0.185,0.677,0,40,0.5,-0.128,1,synthetic,1.0
43,15,11,4,0.197,0.543,0,23,7.1,-0.141,1,synthetic,1.0
103,5,14,2,0.32,0.781,0,59,3.4,0.014,0,synthetic,1.0
53,4,14,1,0.348,0.886,0,69,1.3,0.07,0,synthetic,1.0
50,1,17,4,0.281,0.76,0,9,2.3,0.202,1,synthetic,1.0
5,2,6,2,0.464,0.758,0,45,3.0,0.166,1,synthetic,1.0
141,13,4,0,0.057,0.885,1,8,3.6,0.37,0,synthetic,1.0
104,6,12,6,0.67,0.939,0,5,6.9,0.304,1,synthetic,1.0
7,9,4,2,0.682,0.755,0,106,2.0,0.431,0,synthetic,1.0
48,3,11,4,0.363,0.929,1,7,4.5,0.381,1,synthetic,1.0
358,5,15,6,0.334,0.879,0,10,7.2,-0.141,1,synthetic,1.0
41,1,10,4,0.206,0.834,0,5,7.4,-0.078,1,synthetic,1.0
23,7,11,1,0.123,0.873,0,25,1.2,-0.056,0,synthetic,1.0
100,3,9,3,0.444,0.755,0,100,1.7,0.367,0,synthetic,1.0
636,3,9,3,0.154,0.83,0,12,3.6,-0.054,0,synthetic,1.0
41,6,17,0,0.137,0.982,0,31,8.7,0.251,0,synthetic,1.0
167,16,18,2,0.662,0.836,0,21,6.3,-0.549,1,synthetic,1.0
215,1,10,4,0.101,0.841,1,16,3.5,-0.61,1,synthetic,1.0
40,10,12,0,0.152,0.77,0,33,16.5,0.409,0,synthetic,1.0
195,2,14,4,0.311,0.707,0,32,2.3,0.173,1,synthetic,1.0
68,3,14,0,0.228,0.676,0,17,7.4,0.381,0,synthetic,1.0
150,1,16,3,0.445,0.505,0,76,6.8,-0.435,1,synthetic,1.0
150,2,15,1,0.215,0.787,1,2,9.5,0.077,1,synthetic,1.0
115,4,0,6,0.179,0.938,0,3,17.6,-0.421,1,synthetic,1.0
14,1,11,5,0.044,0.65,0,187,2.7,0.295,0,synthetic,1.0
270,4,12,1,0.393,0.932,0,55,0.9,0.035,0,synthetic,1.0
58,15,17,3,0.571,0.892,0,65,2.5,-0.009,0,synthetic,1.0
30,1,17,2,0.359,0.497,0,36,7.7,0.29,1,synthetic,1.0
6,8,16,4,0.449,0.408,0,21,7.2,-0.0,1,synthetic,1.0
134,3,15,0,0.042,0.57,0,39,1.6,-0.01,0,synthetic,1.0
169,6,14,6,0.301,0.906,0,3,0.2,-0.407,1,synthetic,1.0
2,1,15,0,0.174,0.88,0,56,2.9,0.432,0,synthetic,1.0
107,1,0,4,0.54,0.708,0,31,2.6,0.061,1,synthetic,1.0
38,1,16,3,0.806,0.922,0,125,0.4,0.186,0,synthetic,1.0
155,1,16,5,0.097,0.863,1,40,6.3,-0.381,1,synthetic,1.0
28,1,13,1,0.282,0.823,1,6,1.3,0.445,1,synthetic,1.0
176,6,17,5,0.512,0.907,0,25,4.2,0.075,1,synthetic,1.0
73,12,4,1,0.034,0.629,0,2,0.4,0.541,0,synthetic,1.0
414,10,17,5,0.124,0.792,0,54,7.9,0.325,1,synthetic,1.0
22,6,10,1,0.55,0.446,0,27,5.4,-0.71,1,synthetic,1.0
62,1,13,4,0.571,0.838,0,18,2.0,0.256,0,synthetic,1.0
18,2,10,4,0.077,0.834,0,138,4.0,0.297,0,synthetic,1.0
387,2,15,0,0.343,0.582,0,112,0.8,0.211,1,synthetic,1.0
314,1,16,5,0.229,0.807,0,122,16.9,0.083,1,synthetic,1.0
44,4,9,4,0.157,0.807,0,9,6.4,-0.039,0,synthetic,1.0
161,4,9,6,0.428,0.896,0,52,6.2,0.009,0,synthetic,1.0
254,2,21,1,0.11,0.792,0,116,0.7,0.438,0,synthetic,1.0
121,2,17,4,0.097,0.85,0,33,0.1,0.46,0,synthetic,1.0
113,10,10,3,0.257,0.627,0,9,3.5,-0.037,1,synthetic,1.0
41,9,17,1,0.334,0.787,0,68,0.6,-0.218,1,synthetic,1.0
14,2,14,0,0.52,0.49,0,84,6.1,0.397,1,synthetic,1.0
341,14,14,6,0.151,0.699,0,48,2.2,0.293,1,synthetic,1.0
346,18,0,1,0.159,0.771,0,13,1.7,0.078,1,synthetic,1.0
150,2,9,3,0.209,0.904,0,8,0.3,-0.275,0,synthetic,1.0
62,2,10,1,0.197,0.952,0,39,22.2,-0.49,0,synthetic,1.0
64,4,7,1,0.383,0.773,0,26,12.5,0.241,0,synthetic,1.0
194,16,12,1,0.306,0.581,0,44,0.6,-0.153,1,synthetic,1.0
341,12,15,1,0.085,0.915,1,4,1.6,-0.161,0,synthetic,1.0
327,1,14,4,0.311,0.499,0,5,2.0,0.141,1,synthetic,1.0
227,2,12,4,0.102,0.826,0,18,1.4,-0.149,0,synthetic,1.0
154,4,20,3,0.428,0.663,0,11,10.9,-0.136,1,synthetic,1.0
13,4,15,4,0.04,0.836,0,38,5.1,-0.203,0,synthetic,1.0
26,1,3,4,0.53,0.862,0,18,12.5,0.213,0,synthetic,1.0
343,11,17,2,0.096,0.842,0,46,8.3,-0.282,0,synthetic,1.0
139,6,12,2,0.343,0.947,0,58,5.6,-0.442,0,synthetic,1.0
1,10,11,4,0.385,0.775,0,8,4.8,-0.285,0,synthetic,1.0
16,11,13,5,0.112,0.814,0,100,8.0,0.432,0,synthetic,1.0
163,8,9,3,0.402,0.91,0,61,4.6,-0.174,0,synthetic,1.0
1,3,17,5,0.388,0.828,0,39,0.8,0.148,0,synthetic,1.0
26,5,12,4,0.139,0.644,0,95,4.2,-0.093,0,synthetic,1.0
119,1,9,3,0.488,0.804,0,12,2.9,-0.059,0,synthetic,1.0
176,6,16,4,0.244,0.82,0,21,16.0,0.412,1,synthetic,1.0
158,1,10,1,0.068,0.84,1,3,2.9,0.038,0,synthetic,1.0
38,7,18,6,0.177,0.765,0,24,0.2,0.5,1,synthetic,1.0
186,1,13,4,0.217,0.883,0,28,1.2,0.582,0,synthetic,1.0
40,1,22,3,0.129,0.768,0,38,10.0,0.475,0,synthetic,1.0
59,1,14,1,0.077,0.85,0,2,13.1,-0.156,0,synthetic,1.0
205,1,16,0,0.192,0.717,0,1,5.2,0.053,1,synthetic,1.0
157,7,6,0,0.355,0.771,0,21,0.2,0.445,1,synthetic,1.0
283,7,21,4,0.375,0.735,0,8,0.1,0.239,1,synthetic,1.0
160,4,11,3,0.135,0.597,0,56,2.6,0.349,1,synthetic,1.0
126,1,15,3,0.098,0.892,0,44,32.1,0.375,0,synthetic,1.0
14,1,15,2,0.2,0.907,0,15,8.1,0.391,0,synthetic,1.0
68,1,17,1,0.266,0.883,0,1,10.8,-0.294,0,synthetic,1.0
46,1,17,4,0.08,0.763,0,8,3.9,-0.015,0,synthetic,1.0
41,13,4,5,0.212,0.819,1,47,7.8,-0.192,1,synthetic,1.0
541,1,22,3,0.242,0.977,0,184,1.5,-0.034,1,synthetic,1.0
74,2,14,0,0.287,0.751,0,15,0.1,0.065,0,synthetic,1.0
333,1,10,0,0.242,0.943,0,64,10.0,0.032,0,synthetic,1.0
149,1,23,4,0.604,0.861,0,80,1.0,-0.176,1,synthetic,1.0
237,4,12,5,0.424,0.658,0,1,5.2,-0.379,1,synthetic,1.0
104,5,11,1,0.726,0.779,0,99,4.3,-0.456,0,synthetic,1.0
129,1,7,4,0.105,0.794,0,25,0.7,0.55,0,synthetic,1.0
101,1,10,4,0.071,0.78,0,133,0.9,0.373,0,synthetic,1.0
32,2,1,6,0.267,0.635,0,30,1.6,0.103,1,synthetic,1.0
192,1,14,0,0.121,0.657,1,10,5.7,-0.857,1,synthetic,1.0
49,1,12,3,0.333,0.731,0,147,0.2,-0.246,0,synthetic,1.0
3,19,16,5,0.182,0.844,0,11,2.1,0.151,0,synthetic,1.0
155,5,13,3,0.076,0.941,0,85,4.4,0.254,0,synthetic,1.0
29,4,12,2,0.362,0.795,0,7,0.8,-0.093,0,synthetic,1.0
423,3,12,4,0.62,0.808,0,44,0.5,0.167,1,synthetic,1.0
461,3,15,2,0.235,0.901,0,21,2.0,-0.028,1,synthetic,1.0
369,4,17,4,0.232,0.459,0,143,1.4,0.341,1,synthetic,1.0
69,7,10,0,0.333,0.634,0,8,4.2,-0.011,0,synthetic,1.0
2,7,12,1,0.336,0.88,0,21,14.0,-0.021,0,synthetic,1.0
395,1,10,3,0.552,0.679,0,40,0.0,-0.15,1,synthetic,1.0
83,4,12,2,0.244,0.963,0,151,9.3,0.227,0,synthetic,1.0
510,3,15,4,0.623,0.743,0,14,2.3,0.125,1,synthetic,1.0
497,12,11,2,0.428,0.981,0,20,4.4,-0.347,1,synthetic,1.0
287,5,10,0,0.099,0.663,0,24,7.6,0.116,0,synthetic,1.0
52,4,15,4,0.161,0.911,0,11,3.4,0.056,0,synthetic,1.0
72,1,17,0,0.166,0.71,0,68,0.4,0.289,1,synthetic,1.0
285,5,9,2,0.706,0.79,0,3,0.6,-0.027,0,synthetic,1.0
57,1,16,4,0.184,0.842,0,48,6.2,-0.292,0,synthetic,1.0
27,2,17,3,0.465,0.827,0,30,1.0,-0.135,0,synthetic,1.0
122,1,11,2,0.104,0.898,0,11,3.4,0.55,0,synthetic,1.0
412,7,16,5,0.292,0.783,1,27,2.2,-0.064,1,synthetic,1.0
178,1,9,1,0.205,0.793,0,70,1.4,0.31,0,synthetic,1.0
126,2,11,4,0.58,0.836,0,23,6.2,-0.411,0,synthetic,1.0
15,13,15,4,0.096,0.74,0,5,5.3,0.119,0,synthetic,1.0
143,1,9,3,0.112,0.828,0,1,4.2,-0.46,0,synthetic,1.0
691,4,12,4,0.112,0.909,0,60,1.9,0.021,1,synthetic,1.0
22,3,13,0,0.153,0.897,0,16,1.0,-0.222,0,synthetic,1.0
109,1,9,1,0.209,0.603,0,107,2.9,-0.277,0,synthetic,1.0
314,9,0,0,0.319,0.615,0,38,6.8,-0.313,1,synthetic,1.0
202,1,12,0,0.382,0.627,0,22,3.4,-0.064,1,synthetic,1.0
179,3,14,4,0.149,0.96,0,33,14.0,-0.57,0,synthetic,1.0
181,4,9,2,0.247,0.928,0,24,0.1,-0.432,1,synthetic,1.0
66,5,15,3,0.581,0.693,0,94,25.6,0.028,1,synthetic,1.0
52,7,11,6,0.561,0.722,0,24,4.7,-0.524,1,synthetic,1.0
248,1,13,2,0.065,0.839,1,4,7.2,-0.456,0,synthetic,1.0
249,1,15,2,0.087,0.783,0,36,1.6,0.536,0,synthetic,1.0
302,7,16,2,0.124,0.82,0,39,2.8,0.471,0,synthetic,1.0
366,4,18,3,0.321,0.787,0,57,6.4,-0.25,1,synthetic,1.0
107,10,14,5,0.227,0.766,0,108,5.7,0.099,1,synthetic,1.0
104,10,12,3,0.133,0.651,0,23,1.6,-0.247,0,synthetic,1.0
240,11,9,0,0.294,0.846,0,17,1.6,-0.235,0,synthetic,1.0
157,3,14,2,0.571,0.838,0,26,4.3,-0.9,0,synthetic,1.0
181,2,10,4,0.07,0.649,0,92,10.9,0.459,0,synthetic,1.0
238,9,9,1,0.257,0.726,0,156,2.3,0.166,1,synthetic,1.0
331,3,15,1,0.179,0.831,0,141,1.7,0.223,0,synthetic,1.0
61,1,14,4,0.453,0.546,0,10,9.0,0.16,1,synthetic,1.0
70,11,15,3,0.076,0.813,0,27,4.6,-0.06,0,synthetic,1.0
14,12,14,1,0.198,0.792,0,12,2.0,-0.146,0,synthetic,1.0
129,3,12,1,0.471,0.843,0,18,0.2,-0.01,0,synthetic,1.0
5,1,14,1,0.195,0.927,0,1,5.1,0.44,0,synthetic,1.0
93,2,19,6,0.287,0.858,0,7,1.7,0.007,0,synthetic,1.0
117,9,14,0,0.072,0.896,0,20,0.3,0.582,0,synthetic,1.0
50,13,15,4,0.237,0.801,0,18,3.8,-0.233,0,synthetic,1.0
134,1,17,4,0.302,0.759,0,13,1.6,-0.447,1,synthetic,1.0
4,1,10,0,0.382,0.694,0,10,1.7,-0.277,0,synthetic,1.0
5,12,10,0,0.104,0.752,0,55,2.6,-0.048,0,synthetic,1.0
259,2,11,2,0.254,0.644,0,13,5.1,0.417,1,synthetic,1.0
66,4,16,0,0.323,0.742,0,49,1.3,-0.145,1,synthetic,1.0
20,20,14,3,0.252,0.537,0,18,0.3,-0.437,1,synthetic,1.0
110,1,9,0,0.185,0.718,0,64,2.2,0.004,0,synthetic,1.0
220,6,19,1,0.115,0.887,0,7,0.2,0.367,1,synthetic,1.0
36,1,10,2,0.281,0.877,0,6,4.8,-0.001,0,synthetic,1.0
146,2,17,1,0.324,0.733,0,45,12.8,0.061,1,synthetic,1.0
13,9,8,1,0.405,0.896,0,98,4.3,-0.008,0,synthetic,1.0
7,3,14,3,0.133,0.936,0,6,1.3,-0.063,0,synthetic,1.0
113,35,14,6,0.405,0.573,0,3,0.8,0.72,1,synthetic,1.0
116,4,6,4,0.074,0.927,0,109,1.1,0.394,0,synthetic,1.0
152,2,13,0,0.108,0.947,0,4,1.0,0.562,0,synthetic,1.0
194,1,11,6,0.419,0.658,0,11,1.5,0.865,1,synthetic,1.0
558,2,16,4,0.236,0.825,0,106,0.4,0.386,1,synthetic,1.0
108,2,16,4,0.373,0.599,0,64,9.0,-0.141,1,synthetic,1.0
58,1,13,1,0.541,0.667,0,16,8.7,0.265,0,synthetic,1.0
237,2,9,3,0.405,0.877,0,123,3.8,0.573,0,synthetic,1.0
47,3,10,4,0.142,0.861,0,33,0.3,0.16,0,synthetic,1.0
86,7,12,1,0.263,0.956,0,2,6.5,-0.104,0,synthetic,1.0
12,6,13,2,0.716,0.723,0,48,0.3,0.412,1,synthetic,1.0
3,7,11,4,0.125,0.739,0,30,0.5,-0.382,0,synthetic,1.0
493,1,15,6,0.464,0.99,0,34,1.6,0.042,1,synthetic,1.0
271,1,9,6,0.26,0.941,0,205,2.3,0.228,0,synthetic,1.0
178,6,15,4,0.674,0.955,0,6,1.7,-0.032,0,synthetic,1.0
78,3,15,0,0.261,0.789,0,42,0.7,0.188,0,synthetic,1.0
28,1,14,0,0.24,0.717,0,24,0.5,0.196,1,synthetic,1.0
25,9,11,0,0.31,0.843,0,12,7.8,0.168,0,synthetic,1.0
43,8,16,2,0.494,0.997,0,47,1.8,-0.057,0,synthetic,1.0
119,4,14,0,0.248,0.769,0,44,1.0,-0.121,0,synthetic,1.0
188,1,12,3,0.207,0.627,0,77,2.7,-0.035,1,synthetic,1.0
161,8,14,6,0.501,0.85,0,84,0.2,-0.412,1,synthetic,1.0
49,5,16,0,0.224,0.632,0,33,3.7,0.413,1,synthetic,1.0
464,9,11,0,0.363,0.894,1,15,1.1,0.162,1,synthetic,1.0
200,8,22,3,0.128,0.909,0,30,3.6,0.051,0,synthetic,1.0
121,9,9,3,0.163,0.848,0,17,3.8,-0.203,0,synthetic,1.0
141,4,11,1,0.377,0.524,0,12,6.6,0.039,1,synthetic,1.0
81,1,2,6,0.142,0.418,0,32,1.0,0.033,1,synthetic,1.0
42,6,12,1,0.102,0.852,0,42,2.5,-0.131,0,synthetic,1.0
66,5,3,3,0.313,0.824,0,35,13.1,0.315,0,synthetic,1.0
212,8,6,0,0.698,0.953,0,123,5.2,-0.339,0,synthetic,1.0
2,1,13,3,0.172,0.871,0,14,14.8,-0.273,0,synthetic,1.0
18,1,4,4,0.333,0.967,0,18,10.5,0.333,1,synthetic,1.0
7,13,18,5,0.383,0.837,0,44,3.8,0.451,0,synthetic,1.0
6,8,16,4,0.165,0.645,0,36,1.2,0.084,1,synthetic,1.0
290,14,17,5,0.116,0.775,0,1,5.7,-0.296,0,synthetic,1.0
182,8,17,4,0.16,0.632,0,14,4.8,0.397,1,synthetic,1.0
96,5,10,4,0.205,0.793,0,11,3.6,0.063,1,synthetic,1.0
15,6,16,6,0.393,0.673,0,73,4.8,0.037,1,synthetic,1.0
101,13,10,0,0.116,0.867,0,80,3.8,0.463,0,synthetic,1.0
96,5,16,5,0.543,0.823,0,13,2.9,0.25,0,synthetic,1.0
28,6,15,2,0.234,0.96,0,4,2.2,-0.11,0,synthetic,1.0
85,1,9,5,0.247,0.592,0,9,0.2,-0.471,1,synthetic,1.0
76,3,17,2,0.263,0.888,0,7,8.0,-0.095,0,synthetic,1.0
143,7,17,5,0.271,0.872,0,10,8.0,0.142,1,synthetic,1.0
151,1,12,6,0.373,0.703,0,10,3.6,0.191,1,synthetic,1.0
6,1,7,0,0.27,0.875,0,26,1.2,-0.368,0,synthetic,1.0
70,2,11,4,0.467,0.813,0,15,0.1,-0.195,0,synthetic,1.0
147,1,12,2,0.32,0.579,0,32,0.0,-0.886,1,synthetic,1.0
